SEMS Public User Database - Site Search Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Results as of: November 21, 2023 - 05:31:33 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found 119 site(s) that match below search criteria:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Criteria:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Active, Archived, or All :",Active ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State:,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPA ID,Site Name,City,County,State,Street Address,Zip Code,Region,NPL Status,Partial NPL Deletion,Superfund Alternative Approach,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Construction Complete,Construction Completion Date,Non-NPL Status Category,Non-NPL Status Subcategory,Non-NPL Status,Site Status,Site Type,Site Type Subcategory,Federal Agency,Native American Interest (NAI),Indian Entity (NAI Status),HRS Score,Federal Facility Indicator,Alias/Alternative Site Name,Non-NPL Status Date,Superfund Site Profile Page URL,RCRA Handler ID - RCRA Handler Name
MDN000305351,2021 INAUGURAL NSSE EVENT,FT MEADE,ANNE ARUNDEL,MD,701 MAPES RD, 20755 ,R03,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Other,,No,,,No,,8/25/20,,
MDD980918387,68TH STREET DUMP/INDUSTRIAL ENTERPRISES,ROSEDALE,BALTIMORE,MD,68TH STREET, 21237 ,R03,Proposed NPL,No,Yes,No,Yes,Yes,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under EPA Enforcement Authority,Remedial Activities Under EPA Enforcement,Active,"Waste Management, Waste Management","Co-disposal landfill (municipal and industrial), Industrial waste facility (non-generator)",,No,,50,No,"68TH STREET DUMP, 68TH STREET DUMP/INDUSTRIAL ENTERPRISES, 68TH STREET DUMP/INDUSTRIAL ENTERPRISES, 68TH STREET LANDFILL SITE, COLGATE PAY DUMP, Industrial Enterprises Site, R.M. WINSTEAD",4/30/03,www.epa.gov/superfund/68thstreet,
MD2210020036,ABERDEEN PROVING GROUND (EDGEWOOD AREA),EDGEWOOD,HARFORD,MD,OFF RTE 40, 21010 ,R03,Final NPL,No,No,No,Yes,Insufficient Data,No,,,,,Active,Manufacturing/Processing/Maintenance,Ordnance production,Department of Defense,No,,53.57,Yes,"ABERDEEN PROVING GROUND (EDGEWOOD AREA), ABERDEEN PROVING GROUND (EDGEWOOD AREA), ABERDEEN PROVING GROUND (EDGEWOOD AREA), US COAST GUARD - UPPER CHESAPEAKE RANGE, US COAST GUARD-POOLE ISLAND RANGE, USA ABERDEEN PROVING GROUND, USA EDGEWOOD ARSENAL",1/25/80,www.epa.gov/superfund/aberdeenprovingground-edgewoodarea,
MD3210021355,ABERDEEN PROVING GROUND (MICHAELSVILLE LANDFILL),ABERDEEN,HARFORD,MD,OFF RTE 40, 21005 ,R03,Final NPL,No,No,No,Insufficient Data,Insufficient Data,Yes,6/11/01,,,,Active,Waste Management,Industrial waste landfill,Department of Defense,No,,31.09,Yes,"ABERDEEN PROVING GROUND (MICHAELSVILLE LANDFILL), ABERDEEN PROVING GROUND (MICHAESLVILLE L, ABERDEEN PROVING GROUND(MICHAELSVILLE LF, ABERDEEN PROVING GROUND(MICHAELSVILLE LF, US COAST GUARD - POOLE ISLAND RANGE, US COAST GUARD - UPPER CHESAPEAKE RANGE, USA EDGEWOOD ARSENAL, USA EDGEWOOD ARSENAL",5/1/81,www.epa.gov/superfund/aberdeenprovingground-michaelsvillelandfill,
MDN000303903,AMERICAN PLATING,BALTIMORE,BALTIMORE CITY,MD,4000 - 4004 E. MONUMENT STREET, 21205 ,R03,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Other,,No,,,No,,4/27/16,,
MD0570024000,ANDREWS AIR FORCE BASE,ANDREWS AIR FORCE BASE,PRINCE GEORGE'S,MD,ALLENTOWN ROAD, 20762 ,R03,Final NPL,No,No,No,Yes,Insufficient Data,No,,,,,Active,Other,"Transportation (e.g., railroad yards, airport, barge docking site)",Department of Defense,No,,50,Yes,"ANDREWS AIR FORCE BASE, ANDREWS AIR FORCE BASE, NAVAL AIR TEST CENTER, USAF ANDREWS AIR FORCE BASE, USAF SANITARY LANDFILL #1, USAF SANITARY LANDFILL #2",[Blank Date],www.epa.gov/superfund/andrewsafb,
MDD980705057,ANNE ARUNDEL COUNTY LANDFILL,GLEN BURNIE,ANNE ARUNDEL,MD,DOVER ST, 21061 ,R03,Withdrawn,No,No,No,Status Unavailable,Status Unavailable,No,,Assessment Needed or Ongoing,Additional Assessment Needed/Ongoing,HRS Package Completed - Further Evaluation Needed,Active,"Waste Management, Waste Management, Waste Management","Illegal disposal/open dump, Multiple, Municipal solid waste landfill",,No,,,No,"ANNE ARUNDEL CO LANDFILL, ANNE ARUNDEL COUNTY LANDFILL, GLEN BURNIE LANDFILL, SMUCKS DUMP",10/14/92,,
MDN000304050,ARUNDEL CLEANERS,BALTIMORE,BALTIMORE,MD,6405 WINDSOR MILL ROAD, 21207 ,R03,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Assessment Needed or Ongoing,Additional Assessment Needed/Ongoing,SI Start Needed,Active,Other,Other,,No,,,No,,4/10/20,,
MDN000303894,ATHENS CLEANERS,BALTIMORE,BALTIMORE,MD,1726 TAYLOR AVENUE, 21234 ,R03,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Assessment Needed or Ongoing,Additional Assessment Needed/Ongoing,SI Start Needed,Active,Other,Unknown,,No,,,No,,6/25/20,,
MDN000304666,ATLANTIC CLEANERS,BALTIMORE,BALTIMORE,MD,718 WALKER AVE, 21212 ,R03,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Assessment Needed or Ongoing,Initial Assessment Needed/Ongoing,PA Start Needed,Active,Other,Unknown,,No,,,No,,7/29/19,,
